legacy_id	article	receipt_name	group
100	П8	"Кольє з панцирного ланцюжка"	"2 группа"
104	Ч9.0	"Чарівний чокер з серцем"	"3 группа"
106	Ч10	"Чокер з японського бісеру з мінімалістичним акцентом"	"3 группа"
108	Ч25	"Ніжний чокер з золотистими вставками"	"3 группа"
112	Ч110	"Вишуканий чокер з серцем"	"3 группа"
113	Б53.1	"Витончений браслет"	"3 группа"
114	С50	Сережки	"2 группа"
118	"Ч87.літера перламутр"	"Чокер з літерою"	"2 группа"
120	С31.1	Сережки-трансформери	"3 группа"
122	Ч2	"Ніжний чокер"	"3 группа"
126	С63	"Сережки з конюшинами"	"2 группа"
127	Ч2.С	"Вишуканий чокер"	"3 группа"
128	Б53.С	"Витончений браслет"	"3 группа"
129	Ч87.С	"Чокер з прозорого каміння"	"2 группа"
130	Б78.С	"Браслет з прозорих камінців"	"2 группа"
131	С50.С	"Сережки срібло"	"2 группа"
132	С16.4C	Сережки-трансформери	"3 группа"
133	К11.C	"Кольє з акцентною застібкою"	"3 группа"
134	Ч23.C	"Комбінований чокер"	"3 группа"
135	Ч74.С	"Чокер з сяючих чорних камінців"	"3 группа"
136	Б66.С	"Комбінований браслет"	"3 группа"
138	Ч111.C	"Мінімалістичний чокер"	"3 группа"
139	К1.2.C	"Кольє з застібкою тогл та кулоном сонце"	"3 группа"
140	Б2.2.С	"Браслет з кулоном та застібкою тогл"	"3 группа"
141	С7	"Сережки колоски"	"2 группа"
142	Ч49	"Білий чокер"	"3 группа"
143	СО.ТС	"Базові сережки"	"2 группа"
144	П2	"Кольє з серцем"	"2 группа"
145	С20	"Ніжні сережки"	"3 группа"
146	П6	"Кольє з цікавою застібкою"	"2 группа"
148	СХІТ	"Сережки зі зйомними звенами"	"2 группа"
152	Ц2	"Кольє з ланцюжка з кулоном серце"	"2 группа"
153	Ц2.C	"Кольє з ланцюжка з кулоном серце"	"2 группа"
154	Ч17	"Вишуканий комбінований чокер"	"3 группа"
156	С59	"Вишукані сережки з кульками"	"2 группа"
157	К51	"Кольє з крупним зеленим камінням та ланцюжком"	"3 группа"
158	К30.1	"Кольє з ланцюжком з крупним кулоном"	"3 группа"
159	С11	"Ніжні сережки"	"3 группа"
162	R1	"Каблучка ланцюжок з серцем"	"2 группа"
163	R-2	"Тендітна  каблучка"	"3 группа"
164	R2.С	"Ніжна каблучка з кулькою срібного кольору"	"3 группа"
165	R3.С	"Каблучка з кулькою срібного кольору"	"3 группа"
167	Ч87.1	"Чокер з прозорих камінців з кулоном"	"2 группа"
168	R4	"Каблучка у чорному кольорі"	"3 группа"
173	Ц900.С	"Кольє з акцентного ланцюжка"	"2 группа"
174	С900.С	"Сережки-трансформери зі зйомними звенами"	"2 группа"
175	Б900.С	"Браслет з акцентного ланцюжка"	"2 группа"
176	Ц903.C	"Кольє біколор з акцентного ланцюжка"	"2 группа"
177	Б903.С	"Браслет біколор з акцентного ланцюжка"	"2 группа"
178	Ч74	"Чокер  у чорному кольорі"	"3 группа"
179	Ч101	"Блискучий чокер у золотому кольорі"	"3 группа"
180	Ч101.C	"Блискучий чокер у срібному кольорі"	"3 группа"
181	Ч75.літачок	"Сяючий чокер у чорному кольорі з кулоном"	"3 группа"
182	"Ч75. маленький компас"	"Чокер у чорному кольорі з кулоном"	"3 группа"
184	"Ч85.маленький компас"	"Чокер з сяючих камінців з кулоном"	"3 группа"
185	Ц7	"Ефектний ланцюжок з кулоном"	"3 группа"
186	Ц22.П	"Вишуканий ланцюжок краватка"	"3 группа"
187	"Ч85.лунниця з фіанітами"	"Чокер з неповторним блиском"	"3 группа"
188	"Ч 13.1"	"Чокер з Вашою літерою"	"3 группа"
191	"С 30"	"Сережки протяжки"	"3 группа"
193	С85	"Вишукані сережки"	"3 группа"
194	Ч55.2	"Чокер з японського бісеру з кулоном"	"2 группа"
195	"Ч55.маленький компас"	"Чокер з японського бісеру з кулоном"	"2 группа"
196	"П 4.C"	"Кольє з ланцюжка"	"2 группа"
197	П-6.1	"Кольє з ланцюжка з кулоном серце"	"2 группа"
198	Ч9.0.С	"Ніжний чокер з серцем у срібному кольорі"	"3 группа"
199	К-23.1.С	"Кольє трансформер з ланцюжком"	"3 группа"
200	К-23.2.С	"Кольє трансформер"	"3 группа"
201	Ч-110.С	"Чокер з серцем у срібному кольорі"	"3 группа"
202	Ч-12.1.C	"Тендітний чокер з додаванням бісеру"	"3 группа"
203	П4	"Кольє з ланцюжка"	"2 группа"
204	R5.С	"Чарівна каблучка з кулькою срібного кольору"	"3 группа"
